Access window start,Access window end,Access duration,Access Status
22-May-2024 21:53:52,22-May-2024 22:00:46,00:06:53,0
22-May-2024 23:24:13,22-May-2024 23:35:28,00:11:14,1
23-May-2024 00:58:44,23-May-2024 01:08:22,00:09:38,1
23-May-2024 10:50:42,23-May-2024 10:53:31,00:02:48,0
23-May-2024 12:21:01,23-May-2024 12:32:01,00:11:00,1
23-May-2024 13:54:41,23-May-2024 14:04:45,00:10:03,1
