Time (UTCG),AngMomentum in X (kg*m^2/sec),AngMomentum in Y (kg*m^2/sec),AngMomentum in Z (kg*m^2/sec)
06 Aug 2023 20:15:04,0.00622933166630747,0.00635786027041022,-0.000518954594079678
06 Aug 2023 20:20:04,0.00728253055497521,0.00743225806713552,-0.000606595232279014
06 Aug 2023 20:25:04,0.00823314769147648,0.00840200339772886,-0.000685658338262427
06 Aug 2023 20:30:04,0.00833607028822495,0.00850667727430832,-0.00069411002197902
06 Aug 2023 20:35:04,0.00749217078047869,0.00764520615081574,-0.000623728135141671
06 Aug 2023 20:40:04,0.00640934724135568,0.00654013503169688,-0.000533482596652063
06 Aug 2023 20:45:04,0.00562954283121333,0.00574455468148851,-0.000468502631181213
06 Aug 2023 20:50:04,0.00529777355481443,0.0054064352710935,-0.000440857678166444
06 Aug 2023 20:55:04,0.00542122675571519,0.0055331034665132,-0.000451142675307185
06 Aug 2023 21:00:04,0.00600145861182441,0.00612615305765315,-0.000499488597421022
06 Aug 2023 21:05:04,-0.00671015401967925,0.0199612364955989,0.000113324771490477
06 Aug 2023 21:10:04,0,0,0
06 Aug 2023 21:15:04,0.00662719779384467,0.00624725260285434,0.00066864335191762
06 Aug 2023 21:20:04,0.00800953514650769,0.00443589918185225,0.000523120804422343
06 Aug 2023 21:25:04,0,0,0
06 Aug 2023 21:30:04,0.014754536834091,-0.00334906949239739,-0.000353883938644247
06 Aug 2023 21:35:04,0.00533869052810809,0.00545034063170763,-0.000444826805423295
06 Aug 2023 21:40:04,0.00533809805899869,0.00544911462086523,-0.000444778615064337
06 Aug 2023 21:45:04,0.00579286195161328,0.00591268442249344,-0.000482629072061793
06 Aug 2023 21:50:04,0.00668030699239216,0.00681789339436628,-0.000556484431043069
06 Aug 2023 21:55:04,0.00777227699728554,0.00793187856353145,-0.000647337469263752
06 Aug 2023 22:00:04,0.00841689646072968,0.00858935302002786,-0.000700906188258219
06 Aug 2023 22:05:04,0.00803350606040389,0.00819776630971427,-0.00066886214145529
06 Aug 2023 22:10:04,0.00698520427851861,0.0071277924321754,-0.000581472673600993
06 Aug 2023 22:15:04,0.00600276647661853,0.00612528467311045,-0.000499602008854292
06 Aug 2023 22:20:04,0.00542263981625805,0.00553358797237215,-0.000451262304806896
06 Aug 2023 22:25:04,0.0052982064722585,0.00540716073825771,-0.000440893139386839
06 Aug 2023 22:30:04,0.00562920790708132,0.00574574036417226,-0.000468471609160575
06 Aug 2023 22:35:04,-0.00590961262438734,0.0187643245416757,-0.000191280460957016
06 Aug 2023 22:40:04,0,0,0
06 Aug 2023 22:45:04,0.00567766997444068,0.00718107604651519,0.000659658145761466
06 Aug 2023 22:50:04,0.00730271402903597,0.00544605746961357,0.000626307710319155
06 Aug 2023 22:55:04,0,0,0
06 Aug 2023 23:00:04,0.0171280211469173,-0.00547810893307395,-0.000145430801607257
06 Aug 2023 23:05:04,0.00553120046949907,0.00564718160188278,-0.000460848818145221
06 Aug 2023 23:10:04,0.00528262943336799,0.00539283257631964,-0.000440161340280849
06 Aug 2023 23:15:04,0.00548841758338192,0.00560226699245466,-0.000457290170463645
06 Aug 2023 23:20:04,0.00614811880283745,0.0062750177059977,-0.000512195579189288
06 Aug 2023 23:25:04,0.00717961117587164,0.00732725864710127,-0.00059803163668303
06 Aug 2023 23:30:04,0.00816930083632512,0.00833687735031994,-0.000680351390584778
06 Aug 2023 23:35:04,0.00837002579049895,0.00854135839875929,-0.000696948084568496
06 Aug 2023 23:40:04,0.00758939539849209,0.00774444084979665,-0.000631832620761233
06 Aug 2023 23:45:04,0.00650021905633381,0.00663286487775053,-0.000541054986902293
06 Aug 2023 23:50:04,0.00568346813159157,0.00579955862033583,-0.000472995795551612
06 Aug 2023 23:55:04,0.00531044002272749,0.00541931405620207,-0.000441913059582187
07 Aug 2023 00:00:04,0.0053923715513972,0.00550358833376989,-0.000448738522793438
07 Aug 2023 00:05:04,0.00593090204614613,0.00605406015431773,-0.000493609623273285
07 Aug 2023 00:10:04,-0.00783456826649428,0.0210891928814593,6.98200884584203e-05
07 Aug 2023 00:15:04,0,0,0
07 Aug 2023 00:20:04,0.00655162017460373,0.00632976822351884,0.00066978521745965
07 Aug 2023 00:25:04,0.00795770436214271,0.00451873291241553,0.000532667731068161
07 Aug 2023 00:30:04,0,0,0
07 Aug 2023 00:35:04,0.0161717112174156,-0.00469714600276833,-0.000336652281453938
07 Aug 2023 00:40:04,0.00536241967079269,0.00547461587966466,-0.000446801816268481
07 Aug 2023 00:45:04,0.00532044212845794,0.00543114581655473,-0.000443309021220958
07 Aug 2023 00:50:04,0.00573319909910475,0.00585183821800434,-0.000477663316883191
07 Aug 2023 00:55:04,0.00658432026815826,0.00671997133429854,-0.000548496452940717
07 Aug 2023 01:00:04,0.00767663167306581,0.00783430165668539,-0.000639381118830455
07 Aug 2023 01:05:04,0.00839466797494327,0.00856669940370691,-0.00069906571248626
07 Aug 2023 01:10:04,0.0081059183528396,0.00827168877071793,-0.00067490193940797
07 Aug 2023 01:15:04,0.00708676803720743,0.0072314457841732,-0.000589937114303553
07 Aug 2023 01:20:04,0.00607860056235983,0.00620265812745999,-0.000505920925017031
07 Aug 2023 01:25:04,0.00545765950061935,0.00556928899105233,-0.000454180177111354
07 Aug 2023 01:30:04,0.0052916178171276,0.00540037973353539,-0.000440344231123546
07 Aug 2023 01:35:04,0.00558030057651836,0.00569575133233418,-0.000464396689867853
07 Aug 2023 01:40:04,-0.00141079561276447,0.0141284419855545,-0.000308984668470634
07 Aug 2023 01:45:04,0,0,0
