Time (UTCG),Torque in X (Nm),Torque in Y (Nm),Torque in Z (Nm)
07 Aug 2023 01:35:04,2.35807665826541e-08,3.45910661140141e-08,-1.10454110422407e-09
07 Aug 2023 01:40:04,-2.55550601029277e-06,2.60020660169904e-06,7.67450919842546e-08
07 Aug 2023 01:45:04,0,0,0
07 Aug 2023 01:50:04,-9.52655151827403e-08,6.71995508613741e-08,4.78750310008844e-09
07 Aug 2023 01:55:04,-6.8061308432086e-08,9.27470903513478e-08,-3.34503947811081e-10
07 Aug 2023 02:00:04,0,0,0
07 Aug 2023 02:05:04,1.64726803476541e-06,-1.51139509286904e-06,-7.67026912325943e-08
07 Aug 2023 02:10:04,-3.40110206384178e-08,-2.43325106544689e-08,3.69386898906839e-09
07 Aug 2023 02:15:04,-8.12762758377268e-09,1.02467422718566e-09,1.45190355073842e-09
07 Aug 2023 02:20:04,1.68156465662953e-08,2.70710000217539e-08,-5.75758872470242e-10
07 Aug 2023 02:25:04,4.04815765056887e-08,5.36118830008517e-08,-2.34839856144827e-09
07 Aug 2023 02:30:04,5.37368279542658e-08,7.15782185127565e-08,-3.08480905988186e-09
07 Aug 2023 02:35:04,3.28838246251326e-08,5.55070618935495e-08,-9.18065691701635e-10
07 Aug 2023 02:40:04,-2.57285960061711e-08,-2.64279597589456e-09,4.09832929431714e-09
07 Aug 2023 02:45:04,-6.75074143462925e-08,-4.90837098670895e-08,7.2594782855512e-09
07 Aug 2023 02:50:04,-6.47648403744793e-08,-5.14859572987537e-08,6.59794715143575e-09
07 Aug 2023 02:55:04,-4.12314822078184e-08,-3.09808522474757e-08,4.34553627190599e-09
07 Aug 2023 03:00:04,-1.51081070416467e-08,-5.84668908250718e-09,2.04196196914157e-09
07 Aug 2023 03:05:04,1.00191069040842e-08,1.99558325521712e-08,-3.95319615445656e-11
07 Aug 2023 03:10:04,3.4432398725198e-08,4.67541766697204e-08,-1.91948134978622e-09
07 Aug 2023 03:15:04,2.70507490647449e-07,-4.22241750325902e-07,5.07045629510091e-08
07 Aug 2023 03:20:04,0,0,0
07 Aug 2023 03:25:04,-8.79940169673084e-08,8.11051229880529e-08,2.8141167182077e-09
07 Aug 2023 03:30:04,2.42200505794678e-06,-3.6414106075996e-06,-4.34470751956692e-07
07 Aug 2023 03:35:04,0,0,0
07 Aug 2023 03:40:04,-5.70085071087563e-07,6.33326914882074e-07,-3.89407586545181e-08
07 Aug 2023 03:45:04,-2.21060759852896e-08,-1.28742874861709e-08,2.64583247071234e-09
07 Aug 2023 03:50:04,3.24379502426293e-09,1.26956727650721e-08,5.10713388581571e-10
07 Aug 2023 03:55:04,2.79056427995938e-08,3.92281176753546e-08,-1.42959218899869e-09
07 Aug 2023 04:00:04,4.89056096783474e-08,6.39782698450954e-08,-2.90337201622763e-09
07 Aug 2023 04:05:04,5.00080539974394e-08,7.023942679357e-08,-2.57043364688606e-09
07 Aug 2023 04:10:04,8.6234805933924e-09,3.22215720168864e-08,1.22317513338942e-09
07 Aug 2023 04:15:04,-5.02276675082451e-08,-2.88677775430041e-08,6.03585676317847e-09
07 Aug 2023 04:20:04,-7.07086787251975e-08,-5.48106861918643e-08,7.32115259136507e-09
07 Aug 2023 04:25:04,-5.51030074629472e-08,-4.34806570097571e-08,5.6388469137547e-09
07 Aug 2023 04:30:04,-2.92690469474882e-08,-1.96872406859856e-08,3.27283277564676e-09
07 Aug 2023 04:35:04,-3.60613804731613e-09,5.76466932335504e-09,1.0726982020802e-09
07 Aug 2023 04:40:04,2.12669151068541e-08,3.20580088305601e-08,-9.25806119480581e-10
07 Aug 2023 04:45:04,-3.48860980112855e-06,3.56660859670483e-06,1.00877171042004e-07
07 Aug 2023 04:50:04,-2.79279930035247e-05,-7.33299394418635e-05,-3.38043042663536e-06
07 Aug 2023 04:55:04,4.48982744188715e-05,6.19036319215671e-05,5.3713853469192e-06
07 Aug 2023 05:00:04,-7.4298410800356e-08,9.08122122789816e-08,5.21920977232086e-10
07 Aug 2023 05:05:04,-6.89296971139007e-05,-3.3339217174676e-05,-3.84924441459823e-06
07 Aug 2023 05:10:04,7.83734958425675e-05,1.65996877823421e-05,1.06120579510974e-06
07 Aug 2023 05:15:04,-3.64483759858161e-08,-2.66277958639863e-08,3.91261093841182e-09
07 Aug 2023 05:20:04,-1.04842226989569e-08,-1.34933539604441e-09,1.65065210270368e-09
07 Aug 2023 05:25:04,1.44970460485663e-08,2.45821550185804e-08,-3.92867375964518e-10
07 Aug 2023 05:30:04,3.84285875841206e-08,5.12103442516099e-08,-2.20282009244564e-09
07 Aug 2023 05:35:04,5.34618840719172e-08,7.08074265305483e-08,-3.10245685254119e-09
07 Aug 2023 05:40:04,3.67752417511879e-08,5.90562384655593e-08,-1.27691417445799e-09
07 Aug 2023 05:45:04,-1.99193930285877e-08,3.37974364678188e-09,3.62261524178435e-09
07 Aug 2023 05:50:04,-6.55853014618285e-08,-4.66365946506383e-08,7.13986781908035e-09
07 Aug 2023 05:55:04,-6.62898162859055e-08,-5.26090398362558e-08,6.76099719677743e-09
07 Aug 2023 06:00:04,-4.36375258251926e-08,-3.31955061852693e-08,4.56599136935946e-09
07 Aug 2023 06:05:04,-1.74773589954849e-08,-8.19301558804149e-09,2.24535729365515e-09
07 Aug 2023 06:10:04,7.7045420955784e-09,1.75133895127454e-08,1.46785084052695e-10
07 Aug 2023 06:15:04,3.22372864900627e-08,4.42600779583744e-08,-1.75741275385004e-09
07 Aug 2023 06:20:04,-4.38533946461721e-07,3.47178617150628e-07,4.96047379574028e-08
07 Aug 2023 06:25:04,0,0,0
07 Aug 2023 06:30:04,-8.75788601674495e-08,8.14984919007454e-08,2.73749196175784e-09
07 Aug 2023 06:35:04,-5.88663009822329e-08,9.34836176688337e-08,-1.45430517252975e-09
07 Aug 2023 06:40:04,0,0,0
07 Aug 2023 06:45:04,-1.8659624381918e-08,9.59607975776618e-08,-4.50793994004274e-08
07 Aug 2023 06:50:04,-2.45245666043214e-08,-1.52267220419285e-08,2.85672040013301e-09
