Time (UTCG),AngMomentum in X (kg*m^2/sec),AngMomentum in Y (kg*m^2/sec),AngMomentum in Z (kg*m^2/sec)
06 Aug 2023 20:15:04,0.00622933166777119,0.0063578602719041,-0.000518954594201554
06 Aug 2023 20:20:04,0.00728253053395612,0.00743225804567994,-0.000606595230528776
06 Aug 2023 20:25:04,0.00823314763705106,0.00840200334217393,-0.000685658333730863
06 Aug 2023 20:30:04,0.00833607022051142,0.00850667720518794,-0.000694110016341842
06 Aug 2023 20:35:04,0.00749217073617035,0.00764520610558096,-0.00062372813145402
06 Aug 2023 20:40:04,0.00640934723096345,0.00654013502107587,-0.000533482595788395
06 Aug 2023 20:45:04,0.00562954284180973,0.00574455469228754,-0.000468502632064591
06 Aug 2023 20:50:04,0.00529777357751156,0.00540643529424341,-0.000440857680056721
06 Aug 2023 20:55:04,0.00542122678188003,0.00553310349320435,-0.000451142677485616
06 Aug 2023 21:00:04,0.00600145862710893,0.00612615307324009,-0.000499488598692969
06 Aug 2023 21:05:04,-0.00671015388965315,0.0199612363510073,0.000113324764136593
06 Aug 2023 21:10:04,0,0,0
06 Aug 2023 21:15:04,0.00662721290334779,0.00624723596947766,0.000668642926253664
06 Aug 2023 21:20:04,0.00800954748484538,0.00443587953988671,0.00052311828135413
06 Aug 2023 21:25:04,0,0,0
06 Aug 2023 21:30:04,0.0147545367571616,-0.00334906932755718,-0.000353883942685794
06 Aug 2023 21:35:04,0.00533869059083315,0.00545034069576838,-0.000444826810645935
06 Aug 2023 21:40:04,0.00533809812854002,0.00544911469187984,-0.000444778620855611
06 Aug 2023 21:45:04,0.00579286201399803,0.00591268448619529,-0.00048262907725762
06 Aug 2023 21:50:04,0.00668030701709437,0.00681789341959426,-0.000556484433101082
06 Aug 2023 21:55:04,0.00777227694409262,0.00793187850924,-0.000647337464835618
06 Aug 2023 22:00:04,0.00841689632999452,0.00858935288657839,-0.000700906177374391
06 Aug 2023 22:05:04,0.00803350594121836,0.00819776618804349,-0.000668862131534861
06 Aug 2023 22:10:04,0.00698520423523499,0.00712779238796741,-0.000581472670001133
06 Aug 2023 22:15:04,0.00600276649942102,0.00612528469634975,-0.000499602010756169
06 Aug 2023 22:20:04,0.0054226398757705,0.00553358803308076,-0.000451262309763939
06 Aug 2023 22:25:04,0.0052982065485752,0.00540716081612376,-0.000440893145741774
06 Aug 2023 22:30:04,0.00562920798079133,0.00574574043938563,-0.000468471615297538
06 Aug 2023 22:35:04,-0.00590961242576776,0.0187643244310749,-0.000191280466978688
06 Aug 2023 22:40:04,0,0,0
06 Aug 2023 22:45:04,0.00567767236345973,0.00718107389017594,0.000659658208794474
06 Aug 2023 22:50:04,0.00730271589129235,0.00544605502885543,0.000626307484427251
06 Aug 2023 22:55:04,0,0,0
06 Aug 2023 23:00:04,0.0171280208716067,-0.00547810856140879,-0.000145430813568388
06 Aug 2023 23:05:04,0.00553120054683569,0.00564718168087072,-0.000460848824583295
06 Aug 2023 23:10:04,0.00528262953381362,0.00539283267889557,-0.000440161348645084
06 Aug 2023 23:15:04,0.00548841768924567,0.00560226710055247,-0.000457290179280124
06 Aug 2023 23:20:04,0.0061481188868975,0.00627501779182603,-0.000512195586190374
06 Aug 2023 23:25:04,0.00717961119199168,0.00732725866356602,-0.000598031638026432
06 Aug 2023 23:30:04,0.0081693007382517,0.00833687725021148,-0.000680351382419614
06 Aug 2023 23:35:04,0.00837002562672039,0.00854135823157328,-0.000696948070933851
06 Aug 2023 23:40:04,0.00758939529150808,0.00774444074057011,-0.00063183261185733
06 Aug 2023 23:45:04,0.00650021904261329,0.00663286486370893,-0.00054105498576396
06 Aug 2023 23:50:04,0.00568346818426499,0.00579955867405978,-0.000472995799940244
06 Aug 2023 23:55:04,0.00531044011029652,0.00541931414554893,-0.000441913066874874
07 Aug 2023 00:00:04,0.00539237165219287,0.00550358843662784,-0.000448738531186335
07 Aug 2023 00:05:04,0.0059309021386103,0.00605406024868338,-0.000493609630971905
07 Aug 2023 00:10:04,-0.00783456806111816,0.0210891927678388,6.98200816532091e-05
07 Aug 2023 00:15:04,0,0,0
07 Aug 2023 00:20:04,0.00655161193202016,0.00632977695832741,0.00066978539943714
07 Aug 2023 00:25:04,0.00795769658169988,0.00451874506502156,0.000532669192214992
07 Aug 2023 00:30:04,0,0,0
07 Aug 2023 00:35:04,0.0161717108598853,-0.00469714552954766,-0.000336652290442998
07 Aug 2023 00:40:04,0.00536241975854756,0.00547461596927921,-0.00044680182357517
07 Aug 2023 00:45:04,0.00532044223901252,0.00543114592943738,-0.00044330903042748
07 Aug 2023 00:50:04,0.00573319921085329,0.00585183833209428,-0.000477663326189517
07 Aug 2023 00:55:04,0.00658432035194003,0.00671997141982715,-0.000548496459917702
07 Aug 2023 01:00:04,0.00767663167700979,0.00783430166070769,-0.000639381119158469
07 Aug 2023 01:05:04,0.00839466786878223,0.00856669929533356,-0.000699065703646035
07 Aug 2023 01:10:04,0.00810591821902707,0.00827168863411509,-0.000674901928266819
07 Aug 2023 01:15:04,0.00708676796653216,0.0072314457120101,-0.000589937108420826
07 Aug 2023 01:20:04,0.00607860056523357,0.00620265813036615,-0.000505920925258329
07 Aug 2023 01:25:04,0.00545765950205019,0.00556928899248312,-0.000454180177231321
07 Aug 2023 01:30:04,0.00529161790182725,0.0054003798199748,-0.000440344238176686
07 Aug 2023 01:35:04,0.00558030067474927,0.00569575143259855,-0.0004643966980475
07 Aug 2023 01:40:04,-0.00141079558028369,0.0141284421294131,-0.000308984671556701
07 Aug 2023 01:45:04,0,0,0
